puntaje,reseña
7,"Each player has a tiny grid board. Player's take turns being the master builder who gets to pick which color of cube everyone has to add to
a square on their boards. After the cubes have been added if any players declare they have the correct pattern of cubes on their board matching one of the building cards in play, they can remove the cubes and add the matching building to one of the squares just emptied. Each of the building scores points at the end of the game in different ways. Examples are the cottage scores 3 points if it is fed, a farm feeds up to 4 cottages, a factory scores no points but can give you flexibility of what cubes you add, wells score 1 point for each adjacent cottage... When all your spaces are full of buildings or cubes and you can't build a building your game is over. Remove all the cubes you still have left and all empty spaces are -1 points. I've been liking this game and have still only played with the starter building cards. Most building types have 4 different similar buildings you can have in the game so looks like there will be some good variety. Also, each game everyone gets one special hidden building that they can build only once... so that also adds variety.

from my blog..."
,As a city planner I would like to play this game!
7,"A very fun building, tetris syle game. There are building powers that keep the game fresh. Love pulling this bad boy out for some quick-intermediate level gaming."
6.5,Decent abstract with some great art. Love the mechanics and bingo style resources. Tense towards the end. Plays quick but can slow down with the wrong group. Keep it simple and don’t turn this into a brain burner for fun.
5,"Ultimately disappointed by this. Was a fun, brain burning puzzle type of game that can get very frustrating if you make a mistake and block yourself. Luckily it plays pretty quickly so you can always count a game as a wash and them play again, but it stinks to watch others keep playing when you boxed yourself into a corner. Some of the special buildings are way over powered, while others are nearly worthless. Some of the basic buildings were never built, so maybe I missed some of the strategy, but it felt like we often just all built the same basic things in different places on our boards unless our special building was particularly valuable. Then that person usually won because of their special building. Nice components and potential to be a fun puzzle game that you could technically play with any number of people if you had enough boards, cubes, and buildings."
8,"12-2020: Rating 7.5

07-2021: Assembled an Etsy wooden insert that fits both expansions in the base game box, makes setup super easy and allows for sleeved cards. Tried the solo mode as well and really enjoyed it.

11-2021: Rating 8.0

Summer 2022 - Got a second Teaching Copy for my office (Sale at Target made it 50% off, great deal)"
3,"Wow, this went over like a lead balloon. In our first 2 plays of the game I think I had at least one person say they genuinely hated the game. It feels so restrictive because of the limited space you have to play, and with people selecting what material you play each turn, you have to rely on someone else wanting the one thing you need, which is annoying. The scoring of the different buildings isn't unique, and didn't make the game interesting. I tried 4 times because I wanted to believe that I was just missing something, but it's clear the game is not for me. It feels light and simple as if you could play it with anyone, but that doesn't make it fun."
8,"A game that is easy to set up, teach, and play; yet layers on thinkiness with repeated plays. Also fun solo."
7,"Tiny Towns (2019)
Tiny Towns: Fortune (2020)
Tiny Towns: Villagers (2020)"
3,"There’s something here but it just wasn’t very interesting. Potentially broken per the rules as written in the sense that, if you start the game as master builder and I copy you without any deviation, we tie, I win."
5,"It's rather pretty with nice wooden bits and colorful graphics, and very accessible for any audience. But I find both the bingo mechanic and the increasingly constricted pattern laying dull and there's very little else to it."
5,Average - not many good decisions to be had for a light family game
6.5,"Not too bad, but not one of my favorites. It's more challenging for me, planning for how each shape will shrink down."
8,"Played Tiny Towns probably 5-10 times with a variety of player counts.

Tiny Towns is a clever game about managing limited space and planning your growth as best you can with limited control. The mechanism where one person picks a resource and everyone has to take that resource is fun and feels interactive. This is a game that can be enjoyed by everyone from novice to enthusiast. And the fact that it plays up to 6 players means it can even fit in as a party game.

I think Tiny Towns is a great family-weight game that can be enjoyed by many and is a good all-around game. Definitely a keeper."
6,"Grabbed this during the Target sale because I had been tempted before and remembered several good reviews over the past few years. Really like the concept and look of the game. Great production.

The puzzle is just so restricting. You start with high hopes then inevitably end up with a deflating feeling. I played the solo mode which I appreciate for the decision-making of selecting from three resource cards each turn, but even then, each game felt very swingy. Once I strung together a pretty high score, but usually I'd end up with a mediocre ending due to so many uncompleted spaces.

Probably won't hold on to it for much longer. Darn."
6.5,This game was a challenge in efficiently using the colors to place the buildings in spots that would not block your attempts to make future buildings! I really enjoyed it even though I lost.
8,"A really good game. You can really frustrate people with certain tactics but it is a thinky,fun game that offers something different. Nice production to"
7.8,I like this as a gateway type game or one that is light but still feels thinky. Quick to play Bingo style play that fills a s pot in my collection - essentially shorter games with meaninful decisions.
2,Not intuitive for new players. Not a very good gateway game but also not a lot of depth for experienced players.
8,"A very easy to learn game that has a good amount of depth in my opinion. The components are nice wooden buildings and cubes that are colorful and appealing. Currently all members of my family (myself, wife, two teenage boys, and a nine year old girl) enjoy the game and request to play it - I think that says a lot about its broad appeal.

Building types change from game to game to keep things fresh which is important, because otherwise I think it could get stale. It plays fast, which is a nice breath of fresh air between longer heavier games. I also like the fact it plays between one and six players, and is a relatively inexpensive game considering all the wooden components.

I highly recommend this game."
5,"Clever design, but claustrophobic. We played with 5 people and I didn't have a good view of the goal cards which was a substantial handicap."
7,An elegant visual puzzle with subtle player interaction and lots of nuanced variety. A deserved hit for AEG.
7.5,"2021 Rank: #77 [-17] : I'd like to see what the expansions bring to the table, but this simple looking game really puts the screws to you as you go along. It gets really tight late."
7.5,Intriguing little puzzle that has multiple knock on effects for all actions.
8,"Difficult to say how much lasting appeal this will have for me, but it made a good first impression."
5.5,"UPDATE 2022: Played 2 more times. Nobody in our group cared for it. I still sort of like the puzzle-y aspect, but (especially as a 5-6p game) there's too much luck for most people's taste in games in our group. Hard pass from the 6p perspective.

This one is not incredibly deep (and has lots of luck in card draws), but it has the simple elegance that I like in games. Easy to pull off the shelf and knock out the rules in a few minutes but meaty enough and with enough variety that you can see yourself playing again and again. The fact that it holds 6 players is a big bonus since we often seem to have 6p at our Friday game nights (and struggle to find good/satisfying 6p games)."
8,"Very nice, though very abstract.
Not at all for Maria.
Played it at 5 and it feels like a game that works best at higher player counts.
Not sure if I'd like this solo....."
7.5,"+ Compact game with so many agonizing decisions; Deciding how hard to push your luck and what combinations to work towards keeps you on your toes throughout.
- I wish there was a better storage/play solution for having all of the buildings in separate bags.


Why it's previously-owned:
This game ended up being okay. I got a bunch of plays in with it, and enjoyed each play just fine, but never felt like coming back to it. If I didn't have piles of outstanding games to keep me wanting to get back to them, I would keep this. But as it is, it wasn't going to get played much."
1,"Good ""roll and write"" game, except the ""roll"" is player deterministic. This makes the game better than many roll and writes.

Still an incredibly dull game. Too solitaire for my taste. The player elimination can be annoying if you got eliminated early and the game drags on for the others."
8,"Vendu a Alex B.

Type: Euro

Catégorie: Léger

Thème: Village

Mécaniques: Construction de pattern, Combos, soloable

Similaire dans ma collection: Azul, Sagrada

Taille de la boite: Standard carré"
5,"You ever feel a sneeze coming on but your friend distracts you so you can’t actually get the sneeze out? That’s a good analogy for the feeling I get when I play this game.

I really thought this game would be exciting and fun while allowing players to make meaningful placement decisions. In reality, this game is pretty mediocre to me. At best it can be a semi-engaging past-time and at worst it can be one of the most frustrating gateways I’ve played to date.

Everyone sees the set of buildings available at the beginning of the game and you each try to figure out one or two combos that you’ll focus on. You eagerly start planning your town in your head. After all, you are the sole city planner. You envision the gorgeous look and feel your town will have by the end; you are the master of your destiny! Your town will have three cottages there, a farm in that corner, then a couple inns with some wells in between.

Your opponent calls out “let’s go with brick.” Damn that throws things off, I really need glass or stone right now. Not to worry, I’m sure one of those are bound to be called in next. “Wheat.” Hmm, ok that really sucks. “Let’s go with another brick.” It’s now back to your turn and you have 3 cubes that you had no intention of having in your town right now. So now what? You have to adjust your dream town to accommodate the whims of your opponents.

The game tempts you with fun combos and adorable possibilities, so naturally you plan it out in your head as you go. When it’s all set up, the game looks like it’s offering you the chance to construct your town however you want to. But within two rounds you realize any real strategic planning is futile. You just don’t have enough control in this game to make the decisions fun or worthwhile. The game inherently removes the incentive to plan anything because you can never know what resource will be called that you will be forced to use. Tiny Towns very quickly devolves into damage control: the game. By the end, your town looks nothing like how you wanted, you have useless resource cubes everywhere (which subtract points from your final score), and you’re left with a sour taste in your mouth.

This isn’t even a flaw in the game design. I think this is exactly what the game is supposed to be. It’s a low rules overhead intro game with great components and art. It just feels like such a bait and switch to me. Constructing your buildings, planning the combos, seeing your town come to life, that’s what I wanted. But what you get is a tactical, chaotic, frustrating game of bingo where your woodland architectural dreams are crushed.

Games like Patchwork or Calico are similar in that the skill comes from being flexible and having contingencies in place. But those two titles don’t tempt you to plan your quilts from the beginning of the game. No one starts Calico and says “ok I want the outer edge to be my polka dot greens and yellows, and then I want some floral pink scattered throughout.” There, the tactical choices evolve as the game goes on in a much more organic way. In Patchwork, you’re forced to think somewhat short term. Pick the piece you can afford and that fits your quilt right now. There’s no long term planning advertised in those games. But again, in Tiny Towns you're lured in with the theme and the belief that you’ll get to choose which buildings to combo together. Then the rug is quickly pulled from underneath you as you realize any sense of control or long term planning was a lie. You want to build that inn, or that farm, and you’re so close. But your friend keeps screwing with you and you can never get that sneeze out.

I don’t think I would seek out a chance to play this game. But I guess if someone really wanted to play it I would oblige without much fuss. It’s just not a game that gives me an experience that is enjoyable enough to chase after. If you’re on the fence about this game and you have any strategic bone in your body, steer clear at all costs."
8.8,"I really enjoy Tiny Towns as a 2 player game, using a house rule turn rotation (p1 chooses, p2 chooses, then draw a card).

The experience is quick and the more you play, the deeper the decisions seem to be."
6,"Decent little game, the turns go fairly quick. However, at certain points there is some AP because you are constantly trying to minimize your opponents scoring options and maximize yours. Overall, I thought this was ok, but I think playing solo was actually better. For whatever reason the constant tension of picking something good for me, but bad for you grew tired by the end of the game, nto to mention the constant bad resources your being given by your opponents. Not a bad game, and one I would play again if asked, but I am probably not seeking it out either."
7,"Feels a little too mind boggling at 6
Too much chaos

But also none of the buildings are really op although it felt like it when they first got it"
6,"A puzzle of cubes at two; a mosaic of chaos at four.
Played in: 2021"
7,"playe for first time at LetsXcape in Newark, very interesting game. Seems easy when you read the rules and then you play and oh boy is it hard to plan around everyone, can be very hard with multiple people."
8,"First demoed this at PAX Unplugged. Absolutely loved the quick playing puzzly nature of this one, and how it played up to six with very little down time."
7,"Simple, fast but difficult to mesh everything together. Definitely a challenging game for it's weight. Great filler."
8,2019-06: I am all about this game. The variable set up is awesome (and demands expansion). The puzzle is incredibly engaging and stress inducing as you do not have control over what the majority of your building materials are. Please give me more Tiny Towns.
,"Players: 1-6
Best at: 1-5
Time: 45-60 minutes

Category:
- City building

Mechanism(s):
- Bingo
- End game bonuses
- Grid coverage
- Pattern building
- Variable player powers
- Variable phase order"
5,"1 play:

I enjoyed playing Tiny Towns, but less than I expected. Much of the gameplay is basically on rails -- here and there I need to take a gamble on where to place a resource, but most of the time there's either a clear answer, or it's basically a crapshoot. There are opportunities for interaction, but they are limited, and the version where you decide which resource everyone takes requires some fairly tedious comparison of opponents' boards to the building recipes.

It's a neat game mechanic in theory, but in practice there just isn't much that's satisfying or surprising. You build a complex building or two, then build simpler ones. If it worked out well, some of your town's attributes multiply. If it didn't, well, it didn't. But since you're not building an actual engine, but only subtracting from buildable land, it's an exercise in steady constriction rather than steady empowerment.

Lightness (1)-Heaviness (5) rating: 2"
7,"Enjoyable to play, not to much to it, easy to teach. Some buildings do not seem to be worth the resources to build. Therefore game balancing could be better."
,"Players: 1-6
Length: 45-60mins
Category: City Building
Mechanism: Player Powers, Pattern Building, Bingo, Player Elimination

Build a Tiny Town with Tetris pieces"
8,It's a fun introductory game for the family. It almost feels like playing tetris on a board except more fun. It is not as interactive as other games but I wouldn't make this the highlight game. It would probably be the game you play a couple of rounds before the main game on a game night at least. If you like cute little animals and colorful pieces this is your game.
6,"SOLD

After a few plays it offers a nice puzzle and scales well using the town hall variant. Doesn't outstay its welcome. Cottages almost feel overpowered. I never figured out a way to get away from them but I also didn't play a whole lot. May have been the card combinations that made them such a powerhouse.

Ended up selling this because the people I would play with were divisive on it. Love it or hate it while I was warm to it. Kind of a shame because it scales. Definitely prefer this over Cartographers and so far this is the one roll n' write I might request on occasion but the box is so obnoxiously big for what it is and in the end it wasn't getting much attention in the neighborhood."
4,"I am not the biggest fan of ""take and make"" games where you build your own player area with largely incidental interaction with other players. As those games go, this is far from the worst example with some nice simple rules and components and a short play-time, but there's almost always something else I'd rather play."
4,"Quickly starts to feel like the same thing again and again, too random at higher player counts. Pass."
7.5,Fun and easy to teach. I've heard good things about the expansions as well.
7,"Original - 2019 05 06: Honestly, this is a great game. Almost every time I play Kingdomino, I wish for a quick town builder with more interesting decisions. This is the game I've been looking for.

Update - 2022 04 03: I forgot how clever it is. You really do have think about what you're doing not only now but what you're hoping to accomplish. You have to have multiple options going on while not accidentally blocking yourself in. The scoring system is interesting, the art is adorable, and the game is fun."
3,It's like someone's boiled down polyonimo games to their most annoying core and made a game out of that. Not for me.
8.7,"I was conflicted over selling this game, but I didn't love it solo and I think I played it out. An expansion probably would have breathed new life into it, but I didn't love it enough to do this."
6.5,"Cute game, simple mechanisms but not any different than any other spacial puzzle game. Despite BGG saying 6 people is not a good player count, given that it's simultaneous play don't see why it wouldn't work"
8.3,"Just when you think you've seen everything...

A spin through the rulebook suggests this is a fairly prosaic, family-friendly game. But it's much more than that: the spacial management is tough, and the interaction should - in the right hands - be downright mean. Feels very DXV-esque, in that the game procedurally generates a puzzle and the real challenge is trying to optimise that puzzle.

Cheap  Quality
Abstract  Themed
Light  Heavy
Shallow Curve  Steep Curve
Elementary  Complex
Tactics  Strategy
Integrated  Artificial
Luck  Skill
Active  Passive
Short  Long
Best with 3"
6.9,"Filler+ 2.1 - Too long for what it is. Not bad, though."
6,"This game hits a really nice sweet spot of being super quick to teach/learn, while also packing a good punch when it comes to decisions and how to play well.

If you like spatial puzzles, you'll love this game, as the entire game is about building buildings in ideal configurations in order to score the most points, but with the challenge of only getting to pick some of the resources you get to deal with, while having to accept the choices made by other players.

I can see this one becoming a pretty good hit for AEG since it really nails simplicity of rules while not skimping on game play."
4.5,"Will have to try again at 3-4 player counts. At 2 players I felt like there was no room to really diverge strategies.

The surprising challenge to the game that isn't noticable from the dead simple rules is how much you actually have to plan out your board placement so that you don't limit your own build options"
6,"Interesting spacial game, but quite challenge... not sure if it's my ideal type of game."
7,It's a fun game. But apparently I'm terrible with spatial puzzles.
7,"This game is often forgotten on my shelf but that's not because there's anything wrong with it. It plays well and is easily taught and multiple rounds can easily be done in under an hour which I appreciate. It's colourful, simple and fun as a great game to teach strategy."
5,"In Tiny Towns, your town is represented by a 4x4 grid on which you will place resource cubes in specific layouts to construct buildings. Each building scores victory points in a unique way. When no player can place any more resources or construct any buildings, the game ends. No doubt this is a fairly unique game in its game play, I think my major complaint is that it is, well, tiny. The 4x4 grid seems too small and causes the game to end too quickly. But I guess that's the point."
7.5,A quick game with a little strategy but the small board limits your choices and keeps it from being overly-thinky. I've only played it solo so far but I imagine my scores will go down playing multi-player. The wood components are really nice.
7,It's such a great game! I played it for the first time the other day and can't wait to play it again!
10,Abstract Strategy/City Building. Super-fun logic puzzle and placement game with some great variants to mitigate what little luck-factor exists. Scales great across player count too.
7.7,"Nice short and not heavy game. I think we might look at a more randomized start next time, possibly incorporating the town hall rules. With two players it works but kills a lot of the suspense.

(Edit, 02/2022) The more we've played this, the more I've liked it. I would definitely rate this as one of my newer favorites."
3,"#Comment: A lot of people will love this, but it unfortunately falls into a category of games that I dislike (Azul, Sagrada, etc.) for feeling too restrictive."
8.9,"Rated on one play, but it may go up because this is a very nice game."
6,Town Hall variant is clever. Calling resources is meh. No fun completely screwing others
5,"Very nice components, interesting design idea, but doesn't compare favorably against other tetris type games like Cartographers or Patchwork."
7,"It's a fun little puzzle game that anyone can play because the rules are super simple yet the depth is good. It can be a bit AP but mostly turns are quick. There is a bit of opportunity, especially in higher player count games, for aggressive play to really frustrate. This depends on the group but if players look to see what other players are doing and then intentionally stick them with the worst resources it can be painful. Also, the starting cards vary in ability and can leave to chance a pretty significant part of play. I do enjoy it but I've experienced some pretty frustrated players so it definitely won't work for all groups.
The Fortune expansion adds some great stuff to the base game and I'd pretty much never go back to playing just the base game."
6,"It's an ok game, but too simplistic for me and not enough interesting decisions to make."
6,"It's an abstract puzzle game that I like. It's interesting to see the different combination of building powers each game and trying to figure out the best plan from there. The wooden building pieces are great! My 8 yo daughter, who doesn't love games, likes to play it so that is a bonus."
7,Quick game of town building. Place resources in shapes to replace them with buildings. Your future self will curse the flippant choices you make. Can play up to any number by replacing a player board and cubes with a pencil and paper.
7.5,"Fun and frustrating little package. 5 and 7 year old play it, but not particularly well."
10,"The rules are simple. Your map is full of options at the start, but as you build your town your choices become increasingly difficult. In a 2 player game you better be careful not to fill up your board too early, or I will be able to call all my own resources! Plays quickly with plenty variety thanks to the extra building cards available in the Fortune expansion."
8,"This game is so easy to learn and teach all while being a real brain-burner! You really have to plan ahead to maximize space and make some difficult decisions that may or may not payoff. I think this game probably has high replay value, though I'll have to play more games to see if there are certain strategies that can be used too much. A nice playtime that doesn't overstay its welcome. [Sleeved w/ Fantasy Flight]"
7,"Good game. Cute little house pieces.

I like the organization of putting the pieces in tetris shapes. Even non-board game players can quickly pick it up and have fun."
7.5,Really solid game with nice variety in possible game combos (like Sushi Go! Party) but has a unique resource placement mechanic and building values like Between Two Cities. Was very good with 2 players and I think it would get even better but also more difficult with more. Look forward to a play with more people.
6.5,"Very tight, very puzzly, and potentially very mean. Definitely not a game for everyone, but I don't mind it as long as it's with the right group."
,"+ Villagers expansion, Fortune expansion, Tiny Trees and FLGS & Larkstone promos"
10,10 year olds favorite game and also a favorite of my 12 year old and myself. Will never turn down a game of this one.
6,"Borrowed this from the library. Only played two player one time. The game was quite frustrating, especially towards the end. I like games to get more fun as they progress, not the other way around. Love the artwork though."
8.5,"- Very good! Strong desire to play again!

Solid first impression. Tight building space but minimal interaction.

After more plays, the interaction really ramps up. It can get brutal when players begin to realize which resources to call for that help them and hurt their opponents. Very fun and challenging!"
7,"Easy rules, quick to learn. Extremely nice art and components. Playing feels great until your opponents keep choosing the ""wrong"" components. Evil opponents! Great variability in the different building cards. Quick play time, lots of fun.

INCLUDED:
Tiny Towns: Fortune
Tiny Towns: Villagers"
7,"A puzzle deeper than it appears with huge replay ability. Scales flawlessly to 6 players, this is a keeper."
8,Quite thinky. Solo mode is okay. A great medium-light gateway game for people newly introduced to board games.
6,Didn't enjoy this game as much as I thought I would.
8,"A fun, little game that works with any group. I especially like how easy it is to teach and how the game immediately creates emotional tension for the whole table."
9,"Incredible resource organizing game. Similar to Triple Town on iPhone, but required to organize things in patterns as opposed to sets. Amazing fun."
6.5,"Satisfying, pleasant grid builder. Simple yet effective solo mode in the box."
8,"11/5/20 BEWARE: I just bought & opened my own copy &the painted wooden components STINK OVERWHELMINGLY of burned plastic &/or some kinda toxic chemical solvent & feel kinda oily. The smell stays on my fingers after i handle them &stinks up my house when the box is open. The smell has also completely permeated the ziplocs, cards & rulebook. I don't remember the copy that i played at gamenight having any such issue whatsoever, but i looked up ""smell"" on the BGG forum & quite a few other folks have this problem. None reported Alderac (AEG) offering a solution beyond suggesting that it might be counterfeit &, in 1 case, replacing it with a copy with the same stench! Hopefully they'll replace my copy or they are in for a BARRAGE of negative press from me. If they do replace it i'll report as much here in glowingly friendly terms &return my rating to a solid 8!
Too late! I returned it to the retailer. It's a pity... it seems like a really fun game & i love quite a few of Alderac's other games.

1/3/21 Found a used copy at local 2nd hand store. Same stench, almost as strong. Gonna try washing all the painted wood with strong lemon dish soap, spreading all the paper &cardboard around my storage unit to air out for a month or 2, &replacing all the ziplocks. I'll post results on the forum
-- Accessible yet challenging little puzzle. Played once about a year ago &quite enjoyed it. I forget the name of the purple building that lets you specify a particular resource on your turn whenever you want, not just for yourself, but for everybody, but it seemed a bit OP (overly powerful) with the Town Hall rules? Dunno for sure."
2,"Tiny Towns was a big letdown - but a premeditated letdown at that. I do not enjoy games with little to no interaction, and this is basically a roll & write except that the roll it's either a deck, or each player's choice.
These are not my type of games.
I'd actually be interested in learning the puzzle itself, how should I place things cleverly to not block myself etc.. but I think that I'm more likely to do that playing on a phone (if ever) than at a table with 4-5 other players.
Cute presentation, cute art, may be a good puzzle, may have interesting interactions with the buildings among themselves, but overall, it's not my type of game."
7.5,"10/19 B24 Clever little game about building buildings on your player mat. Gotta be careful and pay attention to where a building will actually sit after you build it. Fun game!
5/20 M24+Fortunes"
7,This is one that we just keep coming back to. A good game for a group of gamers at different skill levels. Good replay with the random set of building types. It would rate as an 8 except that a few of the buildings just don't seem to be worth the resources and effort to construct them.
,1-6 Players / Age 14+/ 45-60 Min / weight 2.08 / Rating 7.3 / $31.12
5,"I don't really see the appeal of this one. It's OK, it works, maybe just too simple."
9,"I like this game, but as I have played more, I end up usually winning and destroying newcomers, and it makes it less fun. I like this best at 5 players, so I get less resources that I want. I am hoping to maybe grab an expansion for this game to add some shelflife to this, I do love the design and gameplay."
8.1,Very well done city builder. Like the variety this game has to offer with each play.
6.5,"Tiny Towns is pretty fun. It's easy to understand, but there are tons of interesting decisions packed into that little board. I'm looking forward to playing this one more."
9,This was even more fun than I expected. So satisfying to fill in the gaps and has a tetris feel
7,"Beautiful puzzle game. Lovely components. Great player interaction for a puzzle that could have very easily been made to feel like solitaire. At high player counts, be prepared to get stuck, but in a fun way? I never thought I'd be so mad to hear ""wheat!"""
,Added as part of Meeples & Monsters Kickstarter pledge...estimated fulfillment March 2022 (COMPLETE)
7,"It's fine, too simple for Mina and I to play, don't really want to play with newbies"
7,"I think this game is an epic game for lots of players! If you like Tetris type games, then this game is for you!"
7.5,"Tiny Towns is a fine family weight game that gamers will enjoy. When a player is the master builder, they name a resource that everyone must use in their city. You are placing these resources on a 16x16 grid in order to build buildings in your village. So, part of the game is trying to figure out what others are building and then leverage what they are collecting to build your own town. The different buildings interact with each other differently, so plan wisely. The game becomes too chaotic with more players: best at 3 or 4."
7,Very solid game. Easy to learn but there is a fair bit of strategy and the different buildings make it a good one to replay. Good for new board game players.
6,"I'm eh about this, but my husband and gaming group love it. I don't like having to do what others force me to do."
8.6,"Tiny Towns is a hit. Players enjoy it. It is filled with dilemmas and choices. Not much player interaction, though."
6,I got to play my friend's copy of the game. The game gets tight really quick. You gotta pay attention to what people are doing or else you will end up with negative points like my parents! I can see with more players the game gets tighter faster because there is less control on the color cubes you are going to get.
6.5,"Was fun the first few times, but as you try to do better, it gets quite stressful."
10,"Amazing. Casual game, Mix of tetris and yatzee. But nor really. But truly easy for new players, doesn't last too long. And fun. Great strategy and interaction and replayability!"
,"6 player simple personal town building, turns taken simultaneously. Published: 2019"
6,"A spatial puzzle I seem to get worse and worse at every time I play! But it's cute. I think I prefer the ""players pick"" to the mostly random option of the cards, but I'm not sure."
8,"This is a very fun game, especially for people who like puzzles. The spacial puzzle at the core of this game is challenging and entertaining. You really have to try and anticipate what the players around you are trying to build so you can plan for what resources they will call. We always play with the Cavern rule, that's my advice to any new players. It hasn't gotten old, but the expansion would be fun to have and try!"
3,"I literally scored 1 point. That may sound bitter, but it’s just a random fest of cube drawing/placement. Pass on it!"
6,"Not for me. Seems way too constrained and limiting. I was really looking forward to this one, as I love the idea of this type of game. Go away, hype beast! Still searching."
5,A bit dry and boring. Placing cubes and buildings just isn't very enjoyable. The components are nice.
6,"This game feels very tight! It starts pleasant enough and then really gets negative quick. I thought certain pink tower powers will determine who wins and loses the game. You can plan ahead so much and then you may be at the will of a draw of someone who is hate drafting to destroy your buildings. That's part of the game, but made me feel like I wasn't in complete control. You can anticipate what others will do and prepare for them. There is also wisdom in knowing when to complete a certain building to open up space for others. Overall thought it was fun to lear and try out, but a bit too punishing and tight for how light the theme feels. Hate drafting is alive and well and so, so mean! Components and cards were nice and colorful."
7,"Positives: Love that the game is variable every time. Love the quick play. Love how frustratingly good the strategy of where to place your resources is. I really enjoy city building games like this where you get stuff for adjacent stuff or stuff that meets a certain criteria.

Negatives: Still a light game (which isn't always my favorite). Can also be very mean or random depending on which variant you use.

Overall: Great little light game. I think I still like Reef more. Really can't wait to show this one to my wife. I see what the hype is about and I think this is the type of game that will get a lot of play with the family over the years."
8.5,"Excellent spatial puzzle. Simultaneous turns means it plays pretty fast. Freeing up a cluttered board by placing buildings exactly where you need them is very satisfying. Haven't played enough to have any real comments on replayability, but there's many different building cards and you'll have a unique configuration each game so I think it'll last a while before I need to consider grabbing the expansions."
7,"Easy to learn. Takes 5 minutes to explain. After 1 or 2 turns everyone understands how to play. I have played it at 3, 5, and 6 and it plays well at all of those player counts. It is really an abstract/puzzle game. Not sure why it is not rated as and abstract game. I am sure it would rank high. Games are pretty quick. It can become difficult at the end of the game to figure out where to put building materials, which is part of the challenge. Overall a good game that I believe most people would like to play."
5.9,"P: 1-6 T: 30-60 min

Seems to have all of the elements of a SdJ nominee. Spatial grid city placement, bingo style resource, city builder with variable setup. Certainly see the comparison to Azul, Reef, Sagrada; this may be the best of that bunch. Spatial planning reminds me a bit of Triple Town app game (which my wife LOVES)

After many plays this game is starting to fade for us. While the components are solid and the art is pleasant, the theme is pretty much pasted on. With two players, it usually digresses into who can figure out how to clog up the other player so they can make as many remaining buildings as possible, which isn't that enjoyable for us. At higher player counts, strategy disappears as you make the best of what you're dealt. Has tended to leave people in our extended family a bit frustrated and asking for different games."
7,"Love this game, but the replayability is not as high as some others, could use more cards, or added mechanisms to add some longer-term interest.

Perhaps expansions with boards that are different shapes?"
,"Includes: FLGS and Larkstone Promo Cards (2020)
Includes: Tiny Trees Mini Expansion (2020)"
6,"It's a nice puzzle, but one my wife did not enjoy solving, so out it goes. I would rate it higher myself, but at the end the day the theme fell flat with me as well. Would rather play a game like Karuba seeing I enjoy the adventurer theme more."
6,"Here's the thing. Although this SHOULD be easy and breezy as its a bingo selection placement game - it just isn't that easy. Because the patterns to score are hard to do and consider and get frustrating. And the interaction of things is just a little too much for fun-loving family fair. At least for me. So it's ok, but not something I need to retain in my collection."
6.5,"Trade interest: medium

Production: 9/10
Rules Teach: 9/10
Replay Value: 7/10
Scalability: 9/10
Fun Factor: 6/10"
8.5,"I'm a sucker for puzzle games, and this one is great! I love the variability in buildings. The Fortune expansion increases that even more!"
5,"Tiny Towns has elements of Kingdomino, Patchwork, Azul, and Sagrada - some of my favorite games, so I knew I had to try it. To me, though, it is no where near those games. I find myself getting bored with the game quicker than I normally do. This games hangs on in my collection - for now."
7,"Quick to teach and fairly easy to learn, Tiny Towns offers a lot of variety in the different building setups. Definitely has an appeal for those that enjoy spatial puzzles, and it’s pretty awesome to see your town slowly coming alive. We played with the normal rules where each person get to call the resource, which can be cutthroat if you’re not careful. Will have to see if the town hall method offers a different take on the overall gameplay."
8,"I really struggle with spatial games like Tiny Towns, but that doesn't prevent me from appreciating what a great game it is. The rules are fairly simple; collect materials in your town, use materials to build buildings, and get building benefits.

The balance of fitting in the materials with building the correct buildings with preventing your opponents from completing their town makes for a deeper game than the first impression gives you. The game never feels unfair and the huge variety of set ups makes it always feel fresh."
8,"Tiny Towns contains all the joy and puzzley fun of ""Tetris"" with a relaxing art direction reminiscent of Everdell. This is a simple game that requires a combination of visualization and advanced planning. Those who enjoy spacial problems and thinking several moves ahead to achieve the perfect city layout are in for a treat."
8,"Good family or intro game that does take strategy.
1 to 6, best 3.

Family section."
,Polyimino/spacial recognition. Layered puzzles & restrictions. More thinky than the rest of the Poly-puzzle games.
8,"I very much enjoy this game, and if playing with extremely competitive people ruins the game for you, I highly recommend you play with the Town Hall variant included in the rulebook. That makes the game more casual. Solo mode is also highly enjoyable, and a very fun little puzzle."
7,"19B
Very quick puzzle like game. Good as filler. More fun at higher player counts (seems kind of unbalanced at 2)."
7,Nice non-confrontational game where everyone seems to enjoy it. As a filler it takes just a little too long to play. As a short game it's a little weak on complexity.
7,"A fine little puzzly game that feels similar in weight to lighter games like Kingdomino, yet manages to offer an almost overwhelming number of possibilities to players in a small space. If you want to, you can spend a lot of time thinking about where you are going to place a cube! The final few turns can be painful as you never quite get the cubes you need. Generally though, it moves along quite quickly and shouldn't take more than an hour to play.

Artwork is nice, colourful, and clean, and there are lovely bits for the completed buildings."
6,It's a decent game but just not something I can wrap my head around.
